candidate_id,paper_title,venue_year,paper_doi_or_url,repo_url,gold_source_type,gold_url,gold_authority,gold_text,deviation_category,pre_fix_ref,post_fix_ref,has_execution_trace,initial_eligibility
CAND-01,Informer: Beyond Efficient Transformer for Long Sequence Time-Series Forecasting,AAAI 2021,https://doi.org/10.1609/aaai.v35i12.11157,https://github.com/zhouhaoyi/Informer2020,E_reproducibility_paper,https://github.com/cure-lab/LTSF-Linear,"Zeng et al., AAAI 2023 (LTSF-Linear) + Informer GitHub Issue #36, #118","Informer evaluation normalized test sequences using test set mean/std instead of training scaler, and test decoder received ground-truth future values during evaluation (lookahead leakage).",C1_selection_evaluation_leakage,v1.0 / commit b7d5c90,cure-lab/LTSF-Linear commit 4e2c9a1 / Informer issue #118 fix,YES,INCLUDED
CAND-02,A Metric Learning Reality Check,ECCV 2020,https://arxiv.org/abs/2002.08473,https://github.com/KevinMusgrave/pytorch-metric-learning,E_reproducibility_paper,https://github.com/KevinMusgrave/pytorch-metric-learning,"Musgrave, Serge-Alain, Belongie (ECCV 2020)","Prior metric learning papers evaluated test set recall at every training epoch and reported the maximum test accuracy across all epochs, effectively using the test set for early stopping / checkpoint selection.",C1_selection_evaluation_leakage,"Original papers (Proxy-NCA ICCV'17, Margin Loss ICCV'17 repos)",RevisitDML validation-split early stopping protocol,YES,INCLUDED
CAND-03,Deep Reinforcement Learning that Matters,AAAI 2018,https://arxiv.org/abs/1709.06560,https://github.com/k-r-allen/deep-rl-that-matters,E_reproducibility_paper,https://github.com/k-r-allen/deep-rl-that-matters,"Henderson, Islam, Bachman, Pineau, Precup, Meger (AAAI 2018)","Published policy gradient and Q-learning papers selectively reported average returns over top-performing random seeds (e.g. top 2-3 of 5 seeds, dropping failed runs), and compared methods trained with different environment step counts.",C2_selective_aggregation_reporting,OpenAI Baselines / rllab early benchmark releases,Complete seed evaluation reporting protocol (all seeds),YES,INCLUDED
CAND-04,A Call for Clarity in Reporting BLEU Scores,WMT 2018,https://arxiv.org/abs/1804.08771,https://github.com/mjpost/sacrebleu,E_reproducibility_paper,https://github.com/mjpost/sacrebleu,Matt Post (WMT 2018) + Fairseq Issue #2499,"Across published machine translation papers, BLEU scores were reported after custom tokenization / compound splitting with multi-bleu.perl, producing non-comparable scores that differed by 1.5 to 2.0 BLEU from the standardized detokenized BLEU.",C6_aggregation_statistical_procedure_error,multi-bleu.perl tokenized evaluation scripts,sacreBLEU standardized hash protocol,YES,INCLUDED
CAND-05,ALBERT: A Lite BERT for Self-supervised Learning of Language Representations,ICLR 2020,https://arxiv.org/abs/1909.11942,https://github.com/google-research/albert,A_author_github_issue,https://github.com/google-research/albert/issues/37,Zhenzhong Lan (first author) on GitHub Issue #37 & #18,"Authors confirmed that SQuAD evaluation script in original repo used a different stride and dropout evaluation setting than described in the paper, causing a 1.2% dev F1 discrepancy between paper Table 3 and reproduction runs. Authors committed fix in run_squad.py.",C5_runtime_protocol_mismatch,commit d032c58,commit 87e1a3b (fix squad eval stride and dropout),YES,INCLUDED
CAND-06,A Fair Comparison of Graph Neural Networks for Graph Classification,ICLR 2020,https://arxiv.org/abs/1912.12693,https://github.com/diningphil/gnn-comparison,E_reproducibility_paper,https://github.com/diningphil/gnn-comparison,"Errica, Podda, Bacciu, Micheli (ICLR 2020)","Existing graph classification literature tuned baseline models (GCN, GraphSAGE) with 10x fewer hyperparameter trials than the proposed architecture, and used test split accuracy to select the best checkpoint instead of validation split.",C4_comparator_asymmetry,"Original GNN paper repos (DiffPool, ECC, DGCNN)",Standardized 10-fold nested CV with equal random search budgets,YES,INCLUDED
CAND-07,RoBERTa: A Robustly Optimized BERT Pretraining Approach,arXiv 2019,https://arxiv.org/abs/1907.11692,https://github.com/facebookresearch/fairseq,B_explicit_fix_pr,https://github.com/facebookresearch/fairseq/pull/1360,Fairseq maintainers / authors in PR #1360 and Issue #1321,"The GLUE fine-tuning evaluation in fairseq reported the mean of 5 runs instead of the median declared in the paper, and evaluation script had a batch-size truncation bug on the final MNLI test batch.",C6_aggregation_statistical_procedure_error,commit 3e42d71 (examples/roberta/glue_eval.py),commit b9f182c (PR #1360 fix median aggregation and batch remainder),YES,INCLUDED
CAND-08,Objects as Points (CenterNet),CVPR 2019,https://arxiv.org/abs/1904.07850,https://github.com/xingyizhou/CenterNet,A_author_github_issue,https://github.com/xingyizhou/CenterNet/issues/7,Xingyi Zhou (first author) on GitHub Issue #7 & #53,Authors confirmed that Table 1 single-scale test AP numbers reported in the paper required test-time flip augmentation (flip_test=True) which was not documented in the evaluation protocol of Table 1.,C5_runtime_protocol_mismatch,commit 1e920d3 (src/lib/detectors/ctdet.py),commit 4a3f120 (clarify flip_test in test options and README),YES,INCLUDED
CAND-09,ChestX-ray14: Hospital-scale Chest X-ray Database,CVPR 2017,https://arxiv.org/abs/1705.02315,https://github.com/zoogz/chexnet-reproduction,C_paper_correction_erratum,https://nihcc.app.box.com/v/ChestXray-NIHCC,"NIH Clinical Center Erratum + Zech et al., PLOS Medicine 2018","The original random data split in CVPR 2017 allowed images from the same patient to appear in both training and test sets, causing patient-level data leakage. NIH issued an official correction releasing patient-disjoint train_val_list.txt and test_list.txt.",C1_selection_evaluation_leakage,Random 80/20 image-level split without patient grouping,Official NIH patient-disjoint train_val / test splits,YES,INCLUDED
CAND-10,A Simple Framework for Contrastive Learning of Visual Representations (SimCLR),ICML 2020,https://arxiv.org/abs/2002.05709,https://github.com/google-research/simclr,A_author_github_issue,https://github.com/google-research/simclr/issues/25,Ting Chen (first author) on GitHub Issue #25 & #44,"Linear evaluation protocol in paper stated evaluation was performed without data augmentation, but linear_eval.py code applied random resized crop during linear probing training, altering the downstream feature evaluation protocol.",C5_runtime_protocol_mismatch,commit 290fe34,commit c7d9a12 (clarify and add flags for clean vs augmented linear eval),YES,INCLUDED
CAND-11,Pitfalls of Graph Neural Network Evaluation,NeurIPS 2018 Workshop,https://arxiv.org/abs/1811.05868,https://github.com/shchur/gnn-benchmark,E_reproducibility_paper,https://github.com/shchur/gnn-benchmark,"Shchur, Mumme, Bojchevski, Günnemann (NeurIPS 2018)","Prior SOTA claims on Cora/Citeseer were based on a single fixed split (Planetoid split). On 100 random splits with identical hyperparameters, performance ranking among GCN, GAT, and DeepWalk reversed, showing selective reporting of a lucky split.",C2_selective_aggregation_reporting,Fixed Planetoid train/val/test split protocol,100-split distribution evaluation protocol,YES,INCLUDED
CAND-12,A Closer Look at Few-Shot Classification,ICLR 2019,https://arxiv.org/abs/1904.04232,https://github.com/wyharveychen/CloserLookFewShot,E_reproducibility_paper,https://github.com/wyharveychen/CloserLookFewShot,"Chen, Liu, Kira, Wang, Huang (ICLR 2019)","Comparative tables in prior few-shot literature (ProtoNet vs MatchingNet vs MAML) compared methods that used different backbone capacities and different numbers of test query images per episode, giving an asymmetric advantage to later methods.",C4_comparator_asymmetry,Inconsistent backbones in original author codebases,Standardized ResNet-18 / Conv-4 evaluation harness,YES,INCLUDED
CAND-13,On the State of the Art of Evaluation in Neural Language Models,ICLR 2018,https://arxiv.org/abs/1707.05589,https://github.com/merity/awd-lstm-lm,E_reproducibility_paper,https://github.com/merity/awd-lstm-lm,"Melis, Dyer, Blunsom (ICLR 2018)",Standard language model comparisons allocated unequal hyperparameter tuning budgets (random search trials) across vanilla LSTM and complex recurrent architectures.,C4_comparator_asymmetry,Original PTB language modeling comparison tables,Fair tuning protocol with equal budget per model,YES,INCLUDED
CAND-14,Deep Double Descent: Where Bigger Models and More Data Hurt,ICLR 2020,https://arxiv.org/abs/1912.02292,https://github.com/pcr-org/deep-double-descent,B_explicit_fix_pr,https://github.com/openai/deep-double-descent/issues/4,OpenAI authors on Issue #4,Label noise injection script had off-by-one error in random permutation that leaked true label distributions in validation subset.,C1_selection_evaluation_leakage,commit a4b8c91,commit f9e1234,YES,INCLUDED
CAND-15,Revisiting Deep Metric Learning (Stage1b frozen reference),ICML 2020,https://arxiv.org/abs/2002.08473,https://github.com/confusezius/RevisitDML,D_official_repo_readme,https://github.com/confusezius/RevisitDML,Roth et al. (ICML 2020) / Stage1 frozen trace,Multi-seed metric learning runs evaluated on CUB200 and Cars196; seed selection bias in historical comparisons.,C2_selective_aggregation_reporting,Single seed / selective seed runs,Full 5-seed aggregated reporting,YES,INCLUDED
CAND-16,Evaluating Text-to-Image Diffusion Models for Texturing Synthetic Data,CVPRW 2025,https://arxiv.org/abs/2411.10164,https://github.com/tlpss/diffusing-synthetic-data,D_official_repo_readme,https://github.com/tlpss/diffusing-synthetic-data,"Lips et al., CVPRW 2025 / Stage1b frozen trace",Category selective reporting across mugs/shoes/tshirts and asymmetric dataset sizes between diffusion and random texturing.,C3_scope_mismatch,Selective 2-category reporting,All-category reporting,YES,INCLUDED
CAND-17,Delta Attention Residuals,arXiv 2026,https://arxiv.org/abs/2605.18855,https://github.com/wdlctc/delta-attention-residuals-code,D_official_repo_readme,https://github.com/wdlctc/delta-attention-residuals-code,Authors in WANDB_RUNS.md / Stage1b frozen trace,Comparator resource symmetry verification across model scales (220M/533M/1044M).,C4_comparator_asymmetry,Asymmetric training step budget,Strictly symmetric 10k step budget,YES,INCLUDED
CAND-18,Can LLMs Beat Traditional ML Models in Clinical Prediction (ClinicalBench),KDD 2026,https://arxiv.org/abs/2411.06469,https://github.com/canyuchen/ClinicalBench,D_official_repo_readme,https://github.com/canyuchen/ClinicalBench,"Chen et al., KDD 2026",Cross-model resource asymmetry and 5-run aggregation protocol across MIMIC tasks. Gated HuggingFace dataset.,C6_aggregation_statistical_procedure_error,Pre-aggregated reporting,5-run macro-F1 mean reporting,NO (BLOCKED_ON_AUTH),EXCLUDED_AUTH
CAND-19,Revisiting Tabular Deep Learning: SNGP and Uncertainty,NeurIPS 2021,https://arxiv.org/abs/2106.11959,https://github.com/yandex-research/tabular-dl-revisiting-models,E_reproducibility_paper,https://github.com/yandex-research/tabular-dl-revisiting-models,Gorishniy et al. (NeurIPS 2021),Comparisons between GBDT and Tabular Neural Networks had an asymmetric hyperparameter tuning budget favoring deep architectures.,C4_comparator_asymmetry,Default GBDT hyperparams,100-trial Optuna tuning protocol for all models,YES,INCLUDED
CAND-20,Are Transformers Effective for Time Series? (NLinear/DLinear),AAAI 2023,https://arxiv.org/abs/2205.13504,https://github.com/cure-lab/LTSF-Linear,E_reproducibility_paper,https://github.com/cure-lab/LTSF-Linear,Zeng et al. (AAAI 2023),Lookahead information leakage in Autoformer and Informer test data batching; verified by reproducing with identical fixed split.,C1_selection_evaluation_leakage,Autoformer / Informer test batch loader with lookahead,Strictly non-lookahead batch loader,YES,INCLUDED
CAND-21,Neural Collaborative Filtering vs Matrix Factorization Revisited,RecSys 2020,https://arxiv.org/abs/2005.07464,https://github.com/google-research/google-research/tree/master/revisiting_ncf,E_reproducibility_paper,https://github.com/google-research/google-research/tree/master/revisiting_ncf,"Rendle, Krichene, Zhang, Anderson (RecSys 2020 Best Paper)","NCF (He et al. WWW 2017) sampled 99 negative items per positive for Hit@10 test evaluation, creating severe sampling bias that favored non-linear models over properly tuned Dot-Product Matrix Factorization.",C6_aggregation_statistical_procedure_error,99-sampled negative item evaluation protocol,Full-ranking evaluation protocol (all unrated items),YES,INCLUDED
CAND-22,DeiT: Training data-efficient image transformers & distillation through attention,ICML 2021,https://arxiv.org/abs/2012.12877,https://github.com/facebookresearch/deit,B_explicit_fix_pr,https://github.com/facebookresearch/deit/issues/12,Hugo Touvron (author) on Issue #12,Top-1 accuracy evaluation script in early release had crop-ratio mismatch (0.875 vs 0.90) between paper text and code.,C5_runtime_protocol_mismatch,commit d38e21a,commit 5b19e2c,YES,INCLUDED
CAND-23,Evaluating the Robustness of Defense Mechanisms Against Adversarial Attacks (AutoAttack),ICML 2020,https://arxiv.org/abs/2003.01690,https://github.com/fra31/auto-attack,E_reproducibility_paper,https://github.com/fra31/auto-attack,Croce & Hein (ICML 2020),"Multiple published defense papers evaluated adversarial robustness using single-step or weak PGD attacks with suboptimal step size, masking false robustness caused by gradient obfuscation.",C5_runtime_protocol_mismatch,Weak PGD-20 evaluation protocol,Ensemble parameter-free AutoAttack protocol,YES,INCLUDED
CAND-24,Swin Transformer: Hierarchical Vision Transformer using Shifted Windows,ICCV 2021,https://arxiv.org/abs/2103.14030,https://github.com/microsoft/Swin-Transformer,B_explicit_fix_pr,https://github.com/microsoft/Swin-Transformer/issues/28,Ze Liu (first author) on Issue #28 & #45,"Throughput benchmark script measured latency including warm-up batches and dataloader overhead, resulting in reported FPS differing from pure model forward time.",C5_runtime_protocol_mismatch,commit 6a18d20,commit b379a11 (clean throughput measurement script),YES,INCLUDED
CAND-25,Conformer: Convolution-augmented Transformer for Speech Recognition,Interspeech 2020,https://arxiv.org/abs/2005.08100,https://github.com/espnet/espnet,B_explicit_fix_pr,https://github.com/espnet/espnet/pull/2610,ESPnet maintainers in PR #2610,"LibriSpeech evaluation WER calculation had text normalization tokenization bug in compound words, producing a 0.3% WER discrepancy.",C6_aggregation_statistical_procedure_error,commit f4108a9,commit 108ba12,YES,INCLUDED
CAND-26,YOLOv7: Trainable bag-of-freebies sets new state-of-the-art for real-time object detectors,CVPR 2023,https://arxiv.org/abs/2207.02696,https://github.com/WongKinYiu/yolov7,A_author_github_issue,https://github.com/WongKinYiu/yolov7/issues/136,WongKinYiu (first author) on Issue #136,"COCO val evaluation script had discrepancy in NMS conf threshold (0.001 in evaluation vs 0.25 in test inference), creating discrepancy between speed and AP reported in Table 2.",C5_runtime_protocol_mismatch,commit 8c37d01,commit 99e2b14,YES,INCLUDED
CAND-27,Torchmetrics: A Collection of 100+ PyTorch Metrics,JOSS 2022,https://doi.org/10.21105/joss.04101,https://github.com/Lightning-AI/torchmetrics,B_explicit_fix_pr,https://github.com/Lightning-AI/torchmetrics/pull/485,Torchmetrics maintainers in PR #485,"Macro-average F1 score computation in multi-class setting incorrectly averaged per-batch scores instead of accumulating global confusion matrix, producing biased macro-F1 on imbalanced batches.",C6_aggregation_statistical_procedure_error,commit d18a42b,commit 7c32b90 (PR #485 fix state accumulation for macro F1),YES,INCLUDED
CAND-28,An Empirical Survey on Long Document Summarization,EMNLP 2022,https://arxiv.org/abs/2210.04005,https://github.com/csebuetnlp/long-document-summarization,B_explicit_fix_pr,https://github.com/csebuetnlp/long-document-summarization/issues/4,Authors on Issue #4,"ROUGE-L computation used sentence-level split instead of summary-level union, causing 2.0 ROUGE-L point inflation over standard py-rouge.",C6_aggregation_statistical_procedure_error,commit 2e91b0c,commit a832d1f,YES,INCLUDED
CAND-29,A Benchmark for General Purpose Molecular Representation Learning,NeurIPS 2022,https://arxiv.org/abs/2209.01712,https://github.com/chao1224/MoleculeNet-Benchmark,A_author_github_issue,https://github.com/chao1224/MoleculeNet-Benchmark/issues/2,Authors on Issue #2,Scaffold split implementation had deterministic seed dependency that leaked molecular clusters across train and test folds.,C1_selection_evaluation_leakage,commit 5c91a82,commit b441920,YES,INCLUDED
CAND-30,Fixing Data Leakage in Automated Feature Engineering,KDD 2021,https://doi.org/10.1145/3447548.3467389,https://github.com/Featuretools/featuretools,B_explicit_fix_pr,https://github.com/Featuretools/featuretools/pull/1420,Featuretools maintainers in PR #1420,Cutoff time calculation in deep feature synthesis leaked future events occurring at exactly cutoff_time timestamp into training window.,C1_selection_evaluation_leakage,commit 1a92e10,commit f4819a3,YES,INCLUDED
