repo,issue_pr_number,kind,title,expected_family,status,missing_condition,reasoning,strong_signal,paper_link,gold_confirmation,post_fix_commit,pre_fix_commit,candidate_paper,candidate_claim
google-research/albert,276,ISSUE,Load in Browser Tensorflow,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,275,PR,Made README.md more Readable,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,True,False,,,table,
google-research/albert,274,PR,Replace deprecated `tf.contrib.data.map_and_batch(...)` with `tf.data.,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,272,PR,Bump tensorflow from 1.15.2 to 2.11.1,C5,REJECTED_NO_RECOVERABLE_PREFIX,D,gold confirmation present but pre-fix state not recoverable from §2 corpus (needs commit fetch),True,True,True,,,table,cherry
google-research/albert,271,PR,Bump tensorflow from 1.15.2 to 2.9.3,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,270,ISSUE,Improvement to how the `app` and `pages` files conflict is shown. Espe,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,269,ISSUE,The results can't be reproduced,C5,REJECTED_NO_GOLD_CONFIRMATION,C,"protocol + paper, but no merged corrective PR / erratum / author confirmation recoverable",True,True,False,,,reproduce,reproduc
google-research/albert,268,PR,tokenization: log spm usage only in debug mode to avoid console spammi,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,267,ISSUE,Wrong evaluate result on Squad2.0,C5,REJECTED_NO_GOLD_CONFIRMATION,C,"protocol + paper, but no merged corrective PR / erratum / author confirmation recoverable",True,True,False,,,figure,subset
google-research/albert,266,ISSUE,Difference between v1 and v2 for xxlarge,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,True,False,,,paper,
google-research/albert,265,PR,Bump tensorflow from 1.15.2 to 2.7.2,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,263,PR,Bump tensorflow from 1.15.2 to 2.6.4,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,260,ISSUE,How to get the test embeddings from output of fine-tuned model (tutori,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,259,ISSUE,Prediction Fails on default Colab,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,258,PR,Bump tensorflow from 1.15.2 to 2.5.3,C5,REJECTED_NO_PAPER_LINK,A,protocol-relevant but no formal-paper link in a research-impl repo,True,False,False,,,,leak cherry
google-research/albert,257,ISSUE,Default Tutorial Not Working - Can't download MRPC data,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,256,ISSUE,Probable error on line 306 in `create_pretraining_data.py` for albert,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,252,PR,Minor bug fix,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,249,ISSUE,Discrepancy in tokenization results using albert's tokenizer and sente,C5,REJECTED_NO_PAPER_LINK,A,protocol-relevant but no formal-paper link in a research-impl repo,True,False,False,,,,discrepan
google-research/albert,247,ISSUE,Wrong pieces for control symbols after loading SentencepieceProcessor ,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,True,False,,,doi,
google-research/albert,246,PR,Bump tensorflow from 1.15.2 to 2.5.1,C5,REJECTED_NO_PAPER_LINK,A,protocol-relevant but no formal-paper link in a research-impl repo,True,False,True,,,,cherry
google-research/albert,245,PR,Bump tensorflow from 1.15.2 to 2.4.0,C5,REJECTED_NO_RECOVERABLE_PREFIX,D,gold confirmation present but pre-fix state not recoverable from §2 corpus (needs commit fetch),True,True,True,,,table,leak
google-research/albert,243,ISSUE,albert base fine-tuned on squad2.0 gets stuck in loop when predicting ,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,True,False,,,doi,
google-research/albert,242,ISSUE,The exact English pretraining data and Chinese pretraining data that a,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,True,False,,,paper,
google-research/albert,241,ISSUE,torch.nn.modules.module.ModuleAttributeError: 'AlbertEmbeddings' objec,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,240,ISSUE,The output of the features of a given text  consists of two tensor.  A,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,True,False,,,figure,
google-research/albert,239,ISSUE,train albert on custom dataset,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,236,PR,Bump tensorflow from 1.15.2 to 2.3.1,C5,REJECTED_NO_RECOVERABLE_PREFIX,D,gold confirmation present but pre-fix state not recoverable from §2 corpus (needs commit fetch),True,True,True,,,table,leak
google-research/albert,235,ISSUE,Could you provide the training hyper paras ,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,234,ISSUE,[Implementation] Sentence order prediction (SOP) label for a single-ch,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,True,False,,,paper; table,
google-research/albert,232,ISSUE,ValueError: Expected input batch_size (864) to match target batch_size,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,True,False,,,figure,
google-research/albert,231,PR,Bump tensorflow from 1.15.2 to 1.15.4,C5,REJECTED_NO_PAPER_LINK,A,protocol-relevant but no formal-paper link in a research-impl repo,True,False,True,,,,leak
google-research/albert,230,ISSUE,[Problem/ Squad V2] the result is too low compare with the F1 score in,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,True,False,,,paper,
google-research/albert,229,ISSUE,Can ALBERT's parameter sharing concept be used in image-GPT paper impl,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,True,False,,,paper,
google-research/albert,227,ISSUE,Error creating and exporting TFLite after fine-tuning (using run_squad,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,226,ISSUE,is it support fine tuning with tf2.x?,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,225,ISSUE,Albert-base-v2 training data,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,224,ISSUE,tensorflow.python.framework.errors_impl.NotFoundError: Restoring from ,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,223,PR,ensure str for the case of bytes type.,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,222,PR,Add the ability to bake threshold into the exported SavedModel.,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,221,ISSUE,TypeError: '<' not supported between instances of 'int' and 'NoneType',C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,220,ISSUE,why running run_squad_v2.py in prediction mode with dev-v2.0.json gets,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,218,ISSUE,Is it possible to load pretrained model's checkpoint and pretrain othe,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,217,ISSUE,"invalid load key, '\x12'",C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,216,ISSUE,How to prepare for the environment/data for fine-tuning? ,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,214,ISSUE,use custom vocab.txt,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,212,ISSUE,how to do inference for SQuAD style QA task using ALBERT?,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,210,ISSUE,Where is the function of Factorized Embedding Parameterization?,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,True,False,,,paper; table,
google-research/albert,209,PR,fix the attention mask description error and a cola evaluation calcula,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,208,ISSUE,Description problem of attention_mask.,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
google-research/albert,207,ISSUE,model isn't learning ,C5,REJECTED_NONSCIENTIFIC,B,no strong protocol/evaluation signal (ordinary software issue or feature request),False,False,False,,,,
