repo,expected_family,kind,number,title,state,html_url,keyword_hits
google-research/albert,C5,ISSUE,276,Load in Browser Tensorflow,open,https://github.com/google-research/albert/issues/276,"['conf', 'config']"
google-research/albert,C5,PR,275,Made README.md more Readable,open,https://github.com/google-research/albert/pull/275,['table']
google-research/albert,C5,PR,274,Replace deprecated `tf.contrib.data.map_and_batch(...)` with `tf.data.experimental.map_and_batch(...)`.,closed,https://github.com/google-research/albert/pull/274,['ap']
google-research/albert,C5,PR,272,Bump tensorflow from 1.15.2 to 2.11.1,open,https://github.com/google-research/albert/pull/272,"['ap', 'checkpoint', 'conf', 'fix', 'ratio', 'split', 'table']"
google-research/albert,C5,PR,271,Bump tensorflow from 1.15.2 to 2.9.3,closed,https://github.com/google-research/albert/pull/271,"['ap', 'conf', 'fix', 'validation']"
google-research/albert,C5,ISSUE,270,"Improvement to how the `app` and `pages` files conflict is shown. Especially the last log line `""pages/"" - ""app/""` made it seem like you should remove the `pages` folder altogether. This was a bug in how the `''` case was displayed. After having a look at this I went further and added exactly which file caused the conflict given that `app` allows you to create `app/(home)/page.js` and such it saves some digging for what the actual conflicting file is. Similarly in `pages` both `pages/dashboard/index.js` and `pages/dashboard.js` are possible.",closed,https://github.com/google-research/albert/issues/270,"['ap', 'conf', 'fix', 'ratio']"
google-research/albert,C5,ISSUE,269,The results can't be reproduced,open,https://github.com/google-research/albert/issues/269,['reproduce']
google-research/albert,C5,PR,268,tokenization: log spm usage only in debug mode to avoid console spamming,open,https://github.com/google-research/albert/pull/268,"['detok', 'token']"
google-research/albert,C5,ISSUE,267,Wrong evaluate result on Squad2.0,closed,https://github.com/google-research/albert/issues/267,"['figure', 'squad', 'subset', 'tuning']"
google-research/albert,C5,ISSUE,266,Difference between v1 and v2 for xxlarge,open,https://github.com/google-research/albert/issues/266,"['ap', 'average', 'conf', 'hyperparameter', 'paper']"
google-research/albert,C5,PR,265,Bump tensorflow from 1.15.2 to 2.7.2,closed,https://github.com/google-research/albert/pull/265,"['ap', 'conf', 'fix', 'validation']"
google-research/albert,C5,PR,263,Bump tensorflow from 1.15.2 to 2.6.4,closed,https://github.com/google-research/albert/pull/263,"['ap', 'conf', 'fix', 'ratio', 'validation']"
google-research/albert,C5,ISSUE,260,How to get the test embeddings from output of fine-tuned model (tutorial),open,https://github.com/google-research/albert/issues/260,"['ap', 'checkpoint', 'glue', 'token']"
google-research/albert,C5,ISSUE,259,Prediction Fails on default Colab,closed,https://github.com/google-research/albert/issues/259,"['ap', 'conf', 'config', 'report', 'stride']"
google-research/albert,C5,PR,258,Bump tensorflow from 1.15.2 to 2.5.3,closed,https://github.com/google-research/albert/pull/258,"['ap', 'conf', 'fix', 'leak', 'ratio', 'split', 'validation']"
google-research/albert,C5,ISSUE,257,Default Tutorial Not Working - Can't download MRPC data,open,https://github.com/google-research/albert/issues/257,"['glue', 'tuning']"
google-research/albert,C5,ISSUE,256,Probable error on line 306 in `create_pretraining_data.py` for albert,open,https://github.com/google-research/albert/issues/256,"['ap', 'ratio']"
google-research/albert,C5,PR,252,Minor bug fix,closed,https://github.com/google-research/albert/pull/252,['fix']
google-research/albert,C5,ISSUE,249,Discrepancy in tokenization results using albert's tokenizer and sentencepiece library,open,https://github.com/google-research/albert/issues/249,"['discrepan', 'token']"
google-research/albert,C5,ISSUE,247,Wrong pieces for control symbols after loading SentencepieceProcessor from official model,closed,https://github.com/google-research/albert/issues/247,['ap']
google-research/albert,C5,PR,246,Bump tensorflow from 1.15.2 to 2.5.1,closed,https://github.com/google-research/albert/pull/246,"['ap', 'conf', 'fix', 'nms', 'ratio', 'validation']"
google-research/albert,C5,PR,245,Bump tensorflow from 1.15.2 to 2.4.0,closed,https://github.com/google-research/albert/pull/245,"['ap', 'conf', 'config', 'fix', 'leak', 'ratio', 'table']"
google-research/albert,C5,ISSUE,243,albert base fine-tuned on squad2.0 gets stuck in loop when predicting on new file,open,https://github.com/google-research/albert/issues/243,"['ap', 'checkpoint', 'conf', 'config', 'dropout', 'evaluation', 'ratio', 'seed', 'split', 'squad', 'token', 'tuning']"
google-research/albert,C5,ISSUE,242,The exact English pretraining data and Chinese pretraining data that are exact same to the BERT paper's pretraining data. ,open,https://github.com/google-research/albert/issues/242,"['ap', 'paper']"
google-research/albert,C5,ISSUE,241,torch.nn.modules.module.ModuleAttributeError: 'AlbertEmbeddings' object has no attribute 'bias',open,https://github.com/google-research/albert/issues/241,"['ap', 'checkpoint', 'conf', 'config', 'dropout', 'token']"
google-research/albert,C5,ISSUE,240,The output of the features of a given text  consists of two tensor.  Are they both the deep features?,open,https://github.com/google-research/albert/issues/240,"['figure', 'token']"
google-research/albert,C5,ISSUE,239,train albert on custom dataset,closed,https://github.com/google-research/albert/issues/239,['token']
google-research/albert,C5,PR,236,Bump tensorflow from 1.15.2 to 2.3.1,closed,https://github.com/google-research/albert/pull/236,"['ap', 'conf', 'config', 'fix', 'leak', 'mismatch', 'ratio', 'table', 'validation']"
google-research/albert,C5,ISSUE,235,Could you provide the training hyper paras ,open,https://github.com/google-research/albert/issues/235,['squad']
google-research/albert,C5,ISSUE,234,[Implementation] Sentence order prediction (SOP) label for a single-chunk-document in create_pretraining_data.py,open,https://github.com/google-research/albert/issues/234,"['ap', 'mean', 'paper', 'report', 'table']"
google-research/albert,C5,ISSUE,232,ValueError: Expected input batch_size (864) to match target batch_size (32).,open,https://github.com/google-research/albert/issues/232,"['ap', 'average', 'figure', 'token', 'validation']"
google-research/albert,C5,PR,231,Bump tensorflow from 1.15.2 to 1.15.4,closed,https://github.com/google-research/albert/pull/231,"['ap', 'conf', 'config', 'fix', 'leak', 'mismatch', 'validation']"
google-research/albert,C5,ISSUE,230,"[Problem/ Squad V2] the result is too low compare with the F1 score in paper, Is something wrong? ",open,https://github.com/google-research/albert/issues/230,"['ap', 'paper', 'squad', 'threshold']"
google-research/albert,C5,ISSUE,229,Can ALBERT's parameter sharing concept be used in image-GPT paper implementation?,open,https://github.com/google-research/albert/issues/229,"['ap', 'paper']"
google-research/albert,C5,ISSUE,227,Error creating and exporting TFLite after fine-tuning (using run_squad_v1.py/run_squad_v2.py),open,https://github.com/google-research/albert/issues/227,"['ap', 'checkpoint', 'conf', 'config', 'squad', 'stride', 'tuning']"
google-research/albert,C5,ISSUE,226,is it support fine tuning with tf2.x?,open,https://github.com/google-research/albert/issues/226,['tuning']
google-research/albert,C5,ISSUE,225,Albert-base-v2 training data,open,https://github.com/google-research/albert/issues/225,"['ap', 'dropout']"
google-research/albert,C5,ISSUE,224,tensorflow.python.framework.errors_impl.NotFoundError: Restoring from checkpoint failed. ,closed,https://github.com/google-research/albert/issues/224,"['ap', 'checkpoint', 'conf', 'config', 'glue']"
google-research/albert,C5,PR,223,ensure str for the case of bytes type.,open,https://github.com/google-research/albert/pull/223,"['fix', 'token']"
google-research/albert,C5,PR,222,Add the ability to bake threshold into the exported SavedModel.,closed,https://github.com/google-research/albert/pull/222,['threshold']
google-research/albert,C5,ISSUE,221,"TypeError: '<' not supported between instances of 'int' and 'NoneType'   while only predicting, try to fix it, but not sure is it make sense",open,https://github.com/google-research/albert/issues/221,"['ap', 'checkpoint', 'fix', 'squad']"
google-research/albert,C5,ISSUE,220,why running run_squad_v2.py in prediction mode with dev-v2.0.json gets zero neg example,open,https://github.com/google-research/albert/issues/220,['squad']
google-research/albert,C5,ISSUE,218,Is it possible to load pretrained model's checkpoint and pretrain other corpus with that checkpoint?,open,https://github.com/google-research/albert/issues/218,"['checkpoint', 'tuning']"
google-research/albert,C5,ISSUE,217,"invalid load key, '\x12'",open,https://github.com/google-research/albert/issues/217,"['squad', 'tuning']"
google-research/albert,C5,ISSUE,216,How to prepare for the environment/data for fine-tuning? ,closed,https://github.com/google-research/albert/issues/216,"['glue', 'tuning']"
google-research/albert,C5,ISSUE,214,use custom vocab.txt,open,https://github.com/google-research/albert/issues/214,['tuning']
google-research/albert,C5,ISSUE,212,how to do inference for SQuAD style QA task using ALBERT?,open,https://github.com/google-research/albert/issues/212,['squad']
google-research/albert,C5,ISSUE,210,Where is the function of Factorized Embedding Parameterization?,open,https://github.com/google-research/albert/issues/210,"['ap', 'paper', 'table']"
google-research/albert,C5,PR,209,fix the attention mask description error and a cola evaluation calculation error.,closed,https://github.com/google-research/albert/pull/209,"['evaluation', 'fix']"
google-research/albert,C5,ISSUE,208,Description problem of attention_mask.,open,https://github.com/google-research/albert/issues/208,['ap']
google-research/albert,C5,ISSUE,207,model isn't learning ,open,https://github.com/google-research/albert/issues/207,"['ap', 'token', 'tuning']"
google-research/albert,C5,ISSUE,206,different parameter position with api doc,open,https://github.com/google-research/albert/issues/206,"['ap', 'metric']"
google-research/albert,C5,ISSUE,205,get Matthew_corr = 0 in eval on CoLA ,open,https://github.com/google-research/albert/issues/205,"['ap', 'evaluation', 'tuning']"
